Bloc : 11,19 | Moyenne : 141.315430
Bloc : 11,20 | Moyenne : 117.345703
Bloc : 11,21 | Moyenne : 124.258789
Bloc : 11,22 | Moyenne : 107.755859
Bloc : 11,23 | Moyenne : 116.885742
Bloc : 11,24 | Moyenne : 105.203125
Bloc : 11,25 | Moyenne : 134.380859
Bloc : 11,26 | Moyenne : 117.555664
Bloc : 11,27 | Moyenne : 107.107422
Bloc : 11,28 | Moyenne : 154.931641
Bloc : 11,29 | Moyenne : 153.567383
Bloc : 11,30 | Moyenne : 90.650391
Bloc : 11,31 | Moyenne : 71.760742
Bloc : 12,0 | Moyenne : 105.025391
Bloc : 12,1 | Moyenne : 104.416016
Bloc : 12,2 | Moyenne : 98.882812
Bloc : 12,3 | Moyenne : 86.350586
Bloc : 12,4 | Moyenne : 93.317383
Bloc : 12,5 | Moyenne : 93.924805
Bloc : 12,6 | Moyenne : 82.152344
Bloc : 12,7 | Moyenne : 87.755859
Bloc : 12,8 | Moyenne : 119.046875
Bloc : 12,9 | Moyenne : 166.248047
Bloc : 12,10 | Moyenne : 197.177734
Bloc : 12,11 | Moyenne : 198.753906
Bloc : 12,12 | Moyenne : 203.839844
Bloc : 12,13 | Moyenne : 203.113281
Bloc : 12,14 | Moyenne : 220.973633
Bloc : 12,15 | Moyenne : 173.346680
Bloc : 12,16 | Moyenne : 180.043945
Bloc : 12,17 | Moyenne : 176.920898
Bloc : 12,18 | Moyenne : 226.479492
Bloc : 12,19 | Moyenne : 208.165039
Bloc : 12,20 | Moyenne : 171.231445
Bloc : 12,21 | Moyenne : 176.070312
Bloc : 12,22 | Moyenne : 77.958984
Bloc : 12,23 | Moyenne : 83.443359
Bloc : 12,24 | Moyenne : 118.702148
Bloc : 12,25 | Moyenne : 75.165039
Bloc : 12,26 | Moyenne : 69.124023
Bloc : 12,27 | Moyenne : 75.534180
Bloc : 12,28 | Moyenne : 113.947266
Bloc : 12,29 | Moyenne : 150.920898
Bloc : 12,30 | Moyenne : 122.873047
Bloc : 12,31 | Moyenne : 77.142578
Bloc : 13,0 | Moyenne : 95.291992
Bloc : 13,1 | Moyenne : 84.704102
Bloc : 13,2 | Moyenne : 87.653320
Bloc : 13,3 | Moyenne : 88.681641
Bloc : 13,4 | Moyenne : 85.213867
Bloc : 13,5 | Moyenne : 89.881836
Bloc : 13,6 | Moyenne : 86.232422
Bloc : 13,7 | Moyenne : 81.973633
Bloc : 13,8 | Moyenne : 112.911133
Bloc : 13,9 | Moyenne : 161.425781
Bloc : 13,10 | Moyenne : 185.340820
Bloc : 13,11 | Moyenne : 202.552734
Bloc : 13,12 | Moyenne : 203.756836
Bloc : 13,13 | Moyenne : 200.446289
Bloc : 13,14 | Moyenne : 201.208984
Bloc : 13,15 | Moyenne : 205.833984
Bloc : 13,16 | Moyenne : 190.295898
Bloc : 13,17 | Moyenne : 183.828125
Bloc : 13,18 | Moyenne : 192.208008
Bloc : 13,19 | Moyenne : 221.524414
